time,flux
2885.3385928681882,115445.3125
2885.3610468556853,114732.1875
2885.383732326417,115158.1328125
2885.4061863115867,114776.8203125
2885.42887177999,115161.515625
2885.4515572469977,115101.4921875
2885.4740112289064,114841.0234375
2885.4966966935854,115182.1953125
2885.5191506731653,114781.9921875
2885.5418361359825,115069.484375
2885.564290113234,114685.078125
2885.5869755732574,114228.015625
2885.6096610328127,113422.9765625
2885.6321150063404,113788.421875
2885.654800463569,113284.078125
2885.6772544347673,113577.828125
2885.699939889667,115124.140625
2885.722393859003,114846.0
2885.7450793111093,115163.6015625
2885.767764762285,114956.53125
2885.79021872836,115092.9140625
2885.812904177207,115293.9609375
2885.835358140954,115046.125
2885.8580435874733,115019.0
2885.880497548893,114952.453125
2885.9031829930827,115025.0234375
2885.9258684363413,115262.4765625
2885.9483223945017,114963.3203125
2885.971007835431,115073.171875
2885.993461791264,114988.703125
2886.0161472298646,115281.4765625
2886.038832667536,115279.953125
2886.061286620108,115064.203125
2886.0839720549848,115047.7265625
2886.106426005228,115427.84375
2886.1291114382425,115436.5390625
2886.1515653861575,114820.578125
2886.17425081731,114896.125
2886.196936246598,115004.3671875
2886.219390191254,115319.8203125
2886.2420756186807,115196.84375
2886.264529561008,114735.46875
2886.2872149865725,115061.265625
2886.3096689265703,114956.4765625
2886.3323543493407,115384.1796875
2886.355039771179,114782.0546875
2886.3774937079183,114813.9296875
2886.4001791274277,114666.765625
2886.422633062305,115205.71875
2886.445318479487,114788.8125
2886.4677724120356,114987.3984375
2886.4904578268893,114722.96875
2886.5131432408107,114906.65625
2886.5355971701,115098.3828125
2886.558282581693,114942.546875
2886.580736508655,114989.3671875
2886.603421917919,114799.1015625
2886.625875842553,115334.4609375
2886.6485612499555,115124.2421875
2886.6712466559607,115143.9609375
2886.6937005773343,114626.2734375
2886.7163859814764,115230.59375
2886.738839900522,118976.453125
2886.761525302336,114922.625
2886.784210702754,115170.1484375
2886.80666461854,113844.953125
2886.829350017094,113665.859375
2886.8518039305513,113310.5703125
2886.8744893267776,113332.421875
2886.896943238372,113651.6953125
2886.9196286322713,115109.8125
2886.942314024772,115169.875
2886.9647679331074,114696.703125
2886.9874533237453,115033.8125
2887.0099072297517,115061.0
2887.032592618063,115370.5390625
2887.0550465217398,115129.09375
2887.0777319081885,115031.890625
2887.100417293239,115067.9765625
2887.1228711936574,115152.15625
2887.1455565768465,115414.6953125
2887.1680104749353,115030.203125
2887.190695855796,115072.2109375
2887.213149752024,115271.515625
2887.2358351305547,115354.875
2887.2585205076903,115102.171875
2887.280974400657,115062.2578125
2887.3036597759296,114903.703125
2887.3261136665697,115466.53125
2887.3487990395124,114962.1484375
2887.3714844115257,114916.2109375
2887.3939382989065,114701.046875
2887.416623668589,115051.3515625
2887.439077554107,115022.8125
2887.4617629214617,114871.8046875
2887.4842168046516,115058.8671875
2887.5069021701456,114840.8046875
2887.5295875342404,114895.3671875
2887.55204141417,114742.0703125
2887.5747267759384,115058.7890625
2887.597180654004,114712.953125
2887.6198660139107,115178.359375
2887.642319889183,114920.203125
2887.6650052467594,115122.4375
2887.6876906034054,114987.2734375
2887.7101444758846,115136.171875
2887.732829830202,115134.5078125
2887.755283700352,115131.703125
2887.7779690528073,115170.7109375
2887.800422920629,115052.9453125
2887.8231082707553,115413.75
2887.8457936194854,114983.8515625
2887.8682474845123,115307.6796875
2887.8909328313803,114701.1484375
2887.9133866936145,115209.5078125
2887.9360720386176,115114.1640625
2887.9587573822255,115052.8125
2887.9812112412,114775.0390625
2888.003896582944,114956.9921875
2888.0263504400564,114113.109375
2888.049035779007,113509.953125
2888.0714896342565,113417.0078125
2888.094174971344,113523.3359375
2888.1168603070355,113995.8828125
2888.139314159026,115134.671875
2888.161999492853,115060.3046875
2888.1844533425146,115090.5078125
2888.207138674015,115138.5234375
2888.229592521813,115683.4375
2888.2522778509856,115249.3203125
2888.274963179226,115291.4609375
2888.297417023765,114735.46875
2888.3201023501424,115033.1328125
2888.3425561918875,115036.25
2888.3652415159377,115317.25
2888.3876953562844,115017.953125
2888.4103806780067,115070.84375
2888.4330659987972,114992.09375
2888.4555198358858,115106.1484375
2888.478205154346,115332.25
2888.5006589891063,114973.8515625
2888.5233443052402,115508.6640625
2888.5460296209076,114790.1640625
2888.568946417948,115063.234375
2888.591631731288,114864.0
2888.6140855604604,115065.1171875
2888.6367708714706,115048.734375
2888.659224698781,115277.6796875
2888.6819100074636,114893.875
2888.7045953152156,115100.1640625
2888.7270491392637,115084.671875
2888.749965927458,115176.3515625
2888.772419749646,115158.171875
2888.795105052741,115160.515625
2888.817558872599,114901.2265625
2888.840244173831,115476.0703125
2888.863160956903,115391.4140625
2888.886309221348,114948.9375
2888.90899451932,115170.28125
2888.931679816361,114947.0234375
2888.954365112005,115334.3671875
2888.9770504067183,114927.1328125
2889.000198665575,115014.015625
2889.022883958425,114885.8359375
2889.0453377671074,115055.0859375
2889.0682545403997,115101.625
2889.0909398295253,115214.9140625
2889.1140880827934,114843.28125
2889.136541887752,115051.25
2889.159690138691,115367.6484375
2889.182375423625,115066.859375
2889.2059866377776,115061.625
2889.228671920384,115219.2578125
2889.251125719754,113892.3203125
2889.2738110004957,113574.265625
2889.2964962798424,113352.703125
2889.3189500759536,113669.921875
2889.3416353534367,113802.4765625
2889.3640891472196,115303.34375
2889.386774422373,115095.7734375
2889.409228214293,115415.921875
2889.640479060248,115016.0234375
2889.6631643223654,115162.0078125
2889.6856181012463,114780.1171875
2889.7083033610343,115148.0078125
2889.730757137587,114838.6328125
2889.753442395512,115088.5078125
2889.775896170203,115069.359375
2889.798581425801,115225.9375
2889.8212666804666,115098.484375
2889.8437204514303,115233.140625
2889.8664057042342,115099.6328125
2889.888859473336,114976.78125
2889.911544723346,115015.28125
2889.9339984905855,114707.0078125
2889.956683738733,115038.6015625
2889.9793689859493,114798.421875
2890.001822749462,114951.1640625
2890.0245079943497,114846.2109375
2890.0469617564668,114834.484375
2890.069646999026,114783.0078125
2890.0921007588154,115159.2890625
2890.1147859995117,114933.109375
2890.1374712388115,115241.2734375
2890.1599249953388,114843.5703125
2890.182610232776,115031.2890625
2890.2050639869776,115297.453125
2890.2277492220855,115224.078125
2890.2504344562635,115353.9296875
2890.27288820767,115386.5390625
2890.295573439519,115002.0703125
2890.318027188597,115144.859375
2890.3407124181176,115112.0859375
2890.363166165334,115445.859375
2890.385851392992,115212.3984375
2890.408536619253,115180.6796875
2890.4309903632097,114890.4765625
2890.453675587608,115194.0546875
2890.4761293292363,113686.125
2890.4988145513066,113722.3359375
2890.521268290605,113559.140625
2890.5439535108126,113567.4375
2890.566638730088,114130.28125
2890.589092466129,115064.328125
2890.611777683077,114884.15625
2890.6342314172543,114950.1171875
2890.656916631874,115258.8984375
2890.679370363723,114949.8359375
2890.7020555764802,115258.890625
2890.7247407878403,114822.453125
2890.7471945168936,115203.1171875
2890.769879725926,114908.3984375
2890.792333452653,115398.5078125
2890.815018659822,115149.4453125
2890.8377038660597,115024.546875
2890.860157589527,115029.984375
2890.8828427934363,115323.296875
2890.9052965145756,115430.875
2890.927981716622,115091.2734375
2890.950435435433,115077.171875
2890.973120635151,114856.171875
2890.9958058339384,115447.8671875
2891.01825954949,114748.078125
2891.040944745947,115236.375
2891.0633984596357,114657.0703125
2891.0860836542315,115120.453125
2891.108537365592,115223.8984375
2891.1312225578604,114890.1171875
2891.1539077487305,114648.15625
2891.1763614572974,115314.8125
2891.199046645839,115023.234375
2891.221500352078,115085.671875
2891.244185538758,115014.46875
2891.2666392431324,114749.671875
2891.289324427484,115407.03125
2891.312009610905,115083.6328125
2891.33446331202,115187.484375
2891.3571484931126,114993.421875
2891.3796021918993,115494.8984375
2891.402287371129,115251.8671875
2891.424741067588,115437.9140625
2891.447426244489,115169.65625
2891.470111420459,115175.1015625
2891.492565113658,115181.3515625
2891.515250287299,114835.078125
2891.5377039786354,115046.6953125
2891.5603891499477,114979.21875
2891.5830743203296,114948.375
2891.6055280084065,115024.2578125
2891.628213176926,114771.5546875
2891.6506668626753,114791.90625
2891.6733520283997,114990.0390625
2891.6958057122865,113690.0390625
